id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KC79VKMCBGAZ7NXS8D0WYXB0,2,2025-12-11T18:28:01.20695478Z,01KC79VK7TM02CNZ35QA1DJMGE,2025-12-11T18:13:01.70829809Z,true,2025-12-11T18:29:41.869588227Z,disconnected,2025-12-11T18:29:41.704604538Z,01KC79VKY7MXVB05HE9NC8EDF2,2025-12-11T18:13:02.027341353Z,01KC7APZG2YC3SK0NYK6RE5QHC,2025-12-11T18:27:58.605921299Z,12,2025-12-11T18:28:01.640747792Z,null,2025-12-11T18:29:41.869588227Z,true,2025-12-11T18:28:01.20695478Z,true,2025-12-11T18:28:01.20695478Z,ended,2025-12-11T18:29:41.704604538Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:13:01.70829809Z,baseline,2025-12-11T18:13:01.70829809Z
01KC79VKPY9KQXNKV1TNV8DH8V,,,01KC79VKD3RDQM8PBAK3VWTCFZ,2025-12-11T18:13:01.790329944Z,false,2025-12-11T18:13:01.790329944Z,shared lobby timeout,2025-12-11T18:33:11.220356078Z,01KC79VM2EBD8M09PWYD4RQQV4,2025-12-11T18:13:02.16209757Z,01KC7AQBT6WRGG00CB5YX61SCW,2025-12-11T18:28:11.216831751Z,,,,,false,2025-12-11T18:13:01.790329944Z,,,failed,2025-12-11T18:33:11.220356078Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:13:01.790329944Z,baseline,2025-12-11T18:13:01.790329944Z
01KC79XM9KRFR8JAAVD62PZDRC,,,01KC79XM5Z2Y1HFSXWP6FXXT3K,2025-12-11T18:14:07.924131503Z,false,2025-12-11T18:14:07.924131503Z,batch ended,2025-12-11T18:54:41.353502558Z,01KC79XMM8VT4BJPKG5QB5MG75,2025-12-11T18:14:08.269415782Z,,,,,,,false,2025-12-11T18:14:07.924131503Z,,,terminated,2025-12-11T18:54:41.353502558Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:14:07.924131503Z,baseline,2025-12-11T18:14:07.924131503Z
01KC79XSEV9HZ41RVA3160E5Z2,,,01KC79XSC392MAE0GHH7EKZA0M,2025-12-11T18:14:13.211472351Z,false,2025-12-11T18:14:13.211472351Z,batch ended,2025-12-11T18:54:45.480455167Z,01KC79XSK6WJKE6V3FJ1A9PET6,2025-12-11T18:14:13.354486018Z,,,,,,,false,2025-12-11T18:14:13.211472351Z,,,terminated,2025-12-11T18:54:45.480455167Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:14:13.211472351Z,baseline,2025-12-11T18:14:13.211472351Z
01KC79VHBZ10QQXP0BWPHPEQ88,2,2025-12-11T18:15:08.952858113Z,01KC79VH8D3XDVE6Y37QAVSJQX,2025-12-11T18:12:59.391051874Z,true,2025-12-11T18:22:11.868086954Z,end of game,2025-12-11T18:22:11.943475725Z,01KC79VHJVDX0117NA0EDQ9JAE,2025-12-11T18:12:59.638676825Z,01KC79ZDE3W0PA5JHQ5KPFB55S,2025-12-11T18:15:06.44161047Z,12,2025-12-11T18:15:09.504537301Z,null,2025-12-11T18:22:11.868086954Z,true,2025-12-11T18:15:08.952858113Z,true,2025-12-11T18:15:08.952858113Z,ended,2025-12-11T18:22:11.943475725Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:12:59.391051874Z,baseline,2025-12-11T18:12:59.391051874Z
01KC79VJRN83Z6TJ4WRC66DE0Y,2,2025-12-11T18:21:06.804691497Z,01KC79VJE7CNPF3WFGNWFS1AX9,2025-12-11T18:13:00.821890254Z,true,2025-12-11T18:35:57.521750117Z,end of game,2025-12-11T18:35:57.609645363Z,01KC79VK4AB8WEN4QGN39XEX17,2025-12-11T18:13:01.198403589Z,01KC7A8GEG90RMQE5V3ZC9PMV2,2025-12-11T18:20:04.441691051Z,12,2025-12-11T18:21:07.459703866Z,null,2025-12-11T18:35:57.521750117Z,true,2025-12-11T18:21:06.804691497Z,true,2025-12-11T18:21:06.804691497Z,ended,2025-12-11T18:35:57.609645363Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:13:00.821890254Z,baseline,2025-12-11T18:13:00.821890254Z
01KC79X3KPYBRKKGVN4JT64MTF,1,2025-12-11T18:44:37.765504386Z,01KC79X2YHB00QNBFZQY5QH2DZ,2025-12-11T18:13:50.838124487Z,true,2025-12-11T18:52:46.101586227Z,end of game,2025-12-11T18:52:46.177830277Z,01KC79X3VYZWYQAFKTT5GQ8AF6,2025-12-11T18:13:51.105460825Z,01KC7BCA8PZMXYTP2B6EWT9YDJ,2025-12-11T18:39:37.762769951Z,12,2025-12-11T18:44:37.965370888Z,null,2025-12-11T18:52:46.101586227Z,true,2025-12-11T18:44:37.765504386Z,,,ended,2025-12-11T18:52:46.177830277Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:13:50.838124487Z,baseline,2025-12-11T18:13:50.838124487Z
01KC7A4E0PYSJHJN3QHD2PRAFR,,,01KC7A4DYJBHB4F6RWB2YC78AS,2025-12-11T18:17:50.870566113Z,false,2025-12-11T18:17:50.870566113Z,batch ended,2025-12-11T18:28:11.456682282Z,01KC7A4E7WECEZBBH3XQXCX323,2025-12-11T18:17:51.105548496Z,,,,,,,false,2025-12-11T18:17:50.870566113Z,,,terminated,2025-12-11T18:28:11.456682282Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:17:50.870566113Z,baseline,2025-12-11T18:17:50.870566113Z
01KC7A6GZPAQY7WG7RS6182XTD,,,01KC7A6GQV95YPSGF7TD9YHYDW,2025-12-11T18:18:59.446466871Z,false,2025-12-11T18:18:59.446466871Z,,,01KC7A6HAMA7VYXJ80X6G40ZSF,2025-12-11T18:18:59.802445959Z,,,,,,,false,2025-12-11T18:18:59.446466871Z,,,,,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:18:59.446466871Z,baseline,2025-12-11T18:18:59.446466871Z
01KC792Q8CHHGA8FER6C9SCFBH,2,2025-12-11T18:08:24.34377216Z,01KC792Q82X2T1YA3GQS9WQQTM,2025-12-11T17:59:26.220289612Z,true,2025-12-11T18:12:43.751469788Z,end of game,2025-12-11T18:12:43.810107229Z,01KC792Q8T9CCC1FHVFVQS38CK,2025-12-11T17:59:26.238268574Z,01KC79K3CAP62H32KJB1TCYRWX,2025-12-11T18:08:22.9281056Z,12,2025-12-11T18:08:24.437552088Z,null,2025-12-11T18:12:43.751469788Z,true,2025-12-11T18:08:24.34377216Z,true,2025-12-11T18:08:24.34377216Z,ended,2025-12-11T18:12:43.810107229Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T17:59:26.220289612Z,baseline,2025-12-11T17:59:26.220289612Z
