id,bonus,bonusLastChangedAt,endReason,endReasonLastChangedAt,ended,endedLastChangedAt,exitStep,exitStepLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,writtenPlan,writtenPlanLastChangedAt
01KC79GNS1S2AW9A3YTCFXMHYJ,220,2025-12-11T18:17:12.575859323Z,disconnected,2025-12-11T18:17:30.367669004Z,game terminated,2025-12-11T18:17:30.336761208Z,,,true,2025-12-11T18:19:08.433090842Z,"{""gamefailed"":""nogame""}",2025-12-11T18:19:08.406649768Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:11:07.397048542Z,2,2025-12-11T18:10:16.080348192Z,true,2025-12-11T18:11:20.799120049Z,01KC79GM4JZFC7M0B5A9F7X5T8,2025-12-11T18:07:03.457234001Z,5eb48a3f84a7aa2fc6d4500b,2025-12-11T18:07:03.457234001Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:07:03.556165571Z,baseline,2025-12-11T18:07:03.556165571Z,"{""PROLIFIC_PID"":""5eb48a3f84a7aa2fc6d4500b"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b08112d66b902db20157f""}",2025-12-11T18:07:03.941286728Z,"{""plan"":""Always park in C""}",2025-12-11T18:11:20.776085945Z
01KC79NRMRDF4S1HXZJGF0GXBP,,,,,game failed,2025-12-11T18:33:11.262903515Z,,,true,2025-12-11T18:12:08.373886421Z,"{""gamefailed"":""nogame""}",2025-12-11T18:12:08.562989698Z,01KC79VKPY9KQXNKV1TNV8DH8V,2025-12-11T18:28:01.20695478Z,,,,,01KC79NQAM3AY1CFJT8RT7QMX1,2025-12-11T18:09:50.232563312Z,60969f2e675df62d497647c2,2025-12-11T18:09:50.232563312Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:09:50.246143307Z,baseline,2025-12-11T18:09:50.246143307Z,"{""PROLIFIC_PID"":""60969f2e675df62d497647c2"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b083be1e3c306728328fc""}",2025-12-11T18:09:50.973973365Z,,
01KC79P9S0Z4R3SF0X9X4XTCT3,20,2025-12-11T18:15:33.122308633Z,disconnected,2025-12-11T18:16:02.934731245Z,game ended,2025-12-11T18:16:03.134680904Z,1,2025-12-11T18:21:32.389309297Z,,,"{""strength"":""I was going to try my best but my partner canceled "",""fair"":""Yes"",""feedback"":""My partner didn't choose any thing""}",2025-12-11T18:21:32.359649624Z,01KC79Q7KZQDNHF5M1TY59AJCV,2025-12-11T18:14:14.952439877Z,2,2025-12-11T18:13:47.947457989Z,true,2025-12-11T18:14:54.745468518Z,01KC79P86N48JDTKA7C8ABJDQE,2025-12-11T18:10:07.776640295Z,67d98a88b03fa4ee9f212a10,2025-12-11T18:10:07.776640295Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:10:07.791829223Z,baseline,2025-12-11T18:10:07.791829223Z,"{""PROLIFIC_PID"":""67d98a88b03fa4ee9f212a10"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b086654bd29f72cb13a84""}",2025-12-11T18:10:08.552799779Z,"{""plan"":""I will try to be cautious ""}",2025-12-11T18:14:53.959381325Z
01KC79BHJKGC0XHEWP58WMSD78,194,2025-12-11T18:09:24.092061398Z,,,game ended,2025-12-11T18:09:27.414246158Z,1,2025-12-11T18:10:06.288075234Z,,,"{""strength"":""I think after a while I notice the partner chosing the same one all the time so I did the same "",""fair"":""Some what "",""feedback"":""none ""}",2025-12-11T18:10:06.293937597Z,01KC792RDTTPADJ08M6VFTYHNX,2025-12-11T18:04:36.680792135Z,2,2025-12-11T18:05:39.144650086Z,true,2025-12-11T18:06:26.699320032Z,01KC79BGS1EJXDNYQ3PREDNKK7,2025-12-11T18:04:15.315140544Z,6761d0e1ed82a6753286b21b,2025-12-11T18:04:15.315140544Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:04:15.324573347Z,baseline,2025-12-11T18:04:15.324573347Z,"{""PROLIFIC_PID"":""6761d0e1ed82a6753286b21b"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b078150e89831b499dcd3""}",2025-12-11T18:04:15.729187121Z,"{""plan"":""Going to try and mix up my choice per go, utilsing different colours ""}",2025-12-11T18:06:26.69672941Z
01KC79FDY16824X1XPSG3PK4TB,,,,,game failed,2025-12-11T18:33:11.262903515Z,,,true,2025-12-11T18:11:43.126409641Z,"{""gamefailed"":""nogame""}",2025-12-11T18:11:42.98940647Z,01KC79VKPY9KQXNKV1TNV8DH8V,2025-12-11T18:28:01.20695478Z,2,2025-12-11T18:08:44.406696372Z,,,01KC79FDCYRHDA4XJHMCSH9BQ4,2025-12-11T18:06:22.657053189Z,66718651235965586f330675,2025-12-11T18:06:22.657053189Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:06:22.666523641Z,baseline,2025-12-11T18:06:22.666523641Z,"{""PROLIFIC_PID"":""66718651235965586f330675"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b0802690b2dc8cabed88d""}",2025-12-11T18:06:22.945064173Z,,
01KC79MW7H7X45AY5T7G8TZJ44,184,2025-12-11T18:19:04.570924528Z,,,game ended,2025-12-11T18:19:14.327110025Z,1,2025-12-11T18:20:24.183914331Z,,,"{""strength"":""Very good "",""fair"":""Yes"",""feedback"":""Everything was good ""}",2025-12-11T18:20:24.126631309Z,01KC79Q5VKEKA6F68YHYY2PTG3,2025-12-11T18:13:53.868463638Z,2,2025-12-11T18:11:33.932691219Z,true,2025-12-11T18:14:14.755571635Z,01KC79MTRMQ8YPB8VMW0ZN0JQG,2025-12-11T18:09:21.137169746Z,6678641343dea20a0ac43a02,2025-12-11T18:09:21.137169746Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:09:21.147158128Z,baseline,2025-12-11T18:09:21.147158128Z,"{""PROLIFIC_PID"":""6678641343dea20a0ac43a02"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b0850086ac6360c310f28""}",2025-12-11T18:09:21.790900272Z,"{""plan"":""\n\nPark in different spots, same color (A+B or C+D) for a 10 MU discount. Otherwise, park in different spots, different color for the regular price. Avoid same spot parking to dodge the 30 MU penalty.""}",2025-12-11T18:14:14.610439961Z
01KC79NJWG3QVHQ0CW4JWQM66F,,,,,game failed,2025-12-11T18:33:11.262903515Z,,,true,2025-12-11T18:11:47.267193913Z,"{""gamefailed"":""nogame""}",2025-12-11T18:11:47.254655853Z,01KC79VKPY9KQXNKV1TNV8DH8V,2025-12-11T18:28:01.20695478Z,2,2025-12-11T18:10:59.993481947Z,,,01KC79NJ9AK73WW5RTJESQKG36,2025-12-11T18:09:44.336889863Z,5ff743fd88a5713bd0d00583,2025-12-11T18:09:44.336889863Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:09:44.352558695Z,baseline,2025-12-11T18:09:44.352558695Z,"{""PROLIFIC_PID"":""5ff743fd88a5713bd0d00583"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b08010ec60f9bc1626b09""}",2025-12-11T18:09:44.665611544Z,,
01KC79FR7J946W03Q3R68B07N0,118,2025-12-11T18:16:53.313460104Z,disconnected,2025-12-11T18:17:28.384443385Z,game terminated,2025-12-11T18:17:28.355525789Z,,,true,2025-12-11T18:12:12.126060963Z,"{""gamefailed"":""nogame""}",2025-12-11T18:12:12.139156703Z,01KC79Q99654F9ET04XN20XZEB,2025-12-11T18:12:44.114818398Z,2,2025-12-11T18:09:56.587839106Z,true,2025-12-11T18:13:44.991346645Z,01KC79FQ14MD1CG051XRV0WRMP,2025-12-11T18:06:33.202580928Z,66c759152c9c09f229a0756c,2025-12-11T18:06:33.202580928Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:06:33.213944311Z,baseline,2025-12-11T18:06:33.213944311Z,"{""PROLIFIC_PID"":""66c759152c9c09f229a0756c"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b07fbf82bd38a6e67529d""}",2025-12-11T18:06:33.824271651Z,"{""plan"":""If I park in the same spot → 30 MU If I  park in different spots, same color (A+B or C+D) → 10 MU discount.\nIf park in different spots, different color → regular price shown on diagram""}",2025-12-11T18:13:45.008095301Z
01KC79HNBJ2VX43MH80SACDQ3D,22,2025-12-11T18:11:32.174659571Z,disconnected,2025-12-11T18:12:11.659402582Z,game ended,2025-12-11T18:12:11.701675496Z,1,2025-12-11T18:12:52.471895618Z,,,"{""strength"":""I would say  did not have any"",""fair"":""It was"",""feedback"":""""}",2025-12-11T18:12:52.436693182Z,01KC792PFW6AVG96T52RTPX57B,2025-12-11T18:10:09.492026595Z,2,2025-12-11T18:08:56.215815197Z,true,2025-12-11T18:10:12.188675766Z,01KC79HM3VXDJG0WR0XMXRGP8D,2025-12-11T18:07:35.794922238Z,610fe388edbe79db4831672b,2025-12-11T18:07:35.794922238Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:07:35.804988822Z,baseline,2025-12-11T18:07:35.804988822Z,"{""PROLIFIC_PID"":""610fe388edbe79db4831672b"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b07f2cd13d605cfa86668""}",2025-12-11T18:07:36.443613846Z,"{""plan"":""I plan to pick the least obvious options and to keep repeating that.""}",2025-12-11T18:10:11.859658324Z
01KC79YVX8PSX2NTZ222FJ32NZ,89,2025-12-11T18:24:31.368263605Z,disconnected,2025-12-11T18:24:48.658101801Z,game ended,2025-12-11T18:24:48.738615209Z,1,2025-12-11T18:26:27.897840474Z,,,"{""strength"":""I think its was a good attempt "",""fair"":""Partially considering that it was more of a guessing game"",""feedback"":""I was enjoying it and would love to have finished if my partner didnt disconnect ""}",2025-12-11T18:26:27.928093079Z,01KC79VJDQXC2W66T6DBS0M1ZZ,2025-12-11T18:18:07.975577127Z,2,2025-12-11T18:18:13.117124198Z,true,2025-12-11T18:19:32.036446928Z,01KC79YTS2TGYHD67BA9H5WVAE,2025-12-11T18:14:48.488157414Z,667d2807e59995857a56db99,2025-12-11T18:14:48.488157414Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-11T18:14:48.519000106Z,baseline,2025-12-11T18:14:48.519000106Z,"{""PROLIFIC_PID"":""667d2807e59995857a56db99"",""STUDY_ID"":""69361907581f9b5982c25777"",""SESSION_ID"":""693b0994876bbd7ee45d0d4d""}",2025-12-11T18:14:49.143526894Z,"{""plan"":""My plan is to play it safe and just pick 1 or 2 spots to park in throughout the game that will probably increase my chances 9f matching well with my partner and getting less penalties ""}",2025-12-11T18:19:32.009051875Z
