id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,myCost,myCostLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KC79YGG6QX5KYCQ5420T279H,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:14:36.806177674Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:14:36.806177674Z,28,2025-12-11T18:14:47.005795791Z,01KC79GWXG2AN5SGG1MDP4PN8P,2025-12-11T18:14:36.806177674Z,01KC79S08NGNEQE17KQZZXFWBT,2025-12-11T18:14:36.806177674Z,01KC79S0X5XE38JQZ5GFVFRSTJ,2025-12-11T18:14:36.806177674Z,true,2025-12-11T18:14:47.935088567Z
01KC7A1B8PPKH5SMC6W8GYEH2M,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:16:09.750691962Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:16:09.750691962Z,,,01KC79GNS1S2AW9A3YTCFXMHYJ,2025-12-11T18:16:09.750691962Z,01KC79RHGJX5N0M7PK5B2DZ720,2025-12-11T18:16:09.750691962Z,01KC79RJ3D5VM91RZTGTBHSV10,2025-12-11T18:16:09.750691962Z,true,2025-12-11T18:16:14.109907905Z
01KC7AD8PCFFZHN5D838ZGE99N,01KC79VJ7VQR2HR116V55XY14K,2025-12-11T18:22:40.332422713Z,01KC79VJDQXC2W66T6DBS0M1ZZ,2025-12-11T18:22:40.332422713Z,10,2025-12-11T18:22:55.785174355Z,01KC7A32NK8ATF83E3BG0K24Q8,2025-12-11T18:22:40.332422713Z,01KC7A7HD989KGBMNGG2N8AKJ4,2025-12-11T18:22:40.332422713Z,01KC7A7J6ZFRAYC21MS99Y792W,2025-12-11T18:22:40.332422713Z,true,2025-12-11T18:22:58.255796892Z
01KC79SSCZGKGG25GC61PRZYPC,01KC792QK3NQ9YQBMVC4J2ZJYJ,2025-12-11T18:12:02.079268716Z,01KC792QKEWXFRRJ193215MS3Y,2025-12-11T18:12:02.079268716Z,,,01KC79FVG65F2QE0J459PXW400,2025-12-11T18:12:02.079268716Z,01KC79RHDPM5P8Z46VTJAWXKKH,2025-12-11T18:12:02.079268716Z,01KC79RHNR10T5G9VK969GBPSF,2025-12-11T18:12:02.079268716Z,true,2025-12-11T18:12:27.317292783Z
01KC79TEGN8BKGE6P0Y0EYPKMA,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:12:23.701929203Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:12:23.701929203Z,,,01KC79MP2326D39SYQE8CY2BC7,2025-12-11T18:12:23.701929203Z,01KC79S03XTP8XS09BEMYJAW3K,2025-12-11T18:12:23.701929203Z,01KC79S0D108ZF859S6PDVN8N2,2025-12-11T18:12:23.701929203Z,true,2025-12-11T18:12:31.396080334Z
01KC79WCE5J6BKZWSNQ9QTFEVP,01KC792PA4EJ6B9N1NVAP206ZD,2025-12-11T18:13:27.109238293Z,01KC792PAG0VBJYH8A5GGYPASS,2025-12-11T18:13:27.109238293Z,11,2025-12-11T18:13:30.237737701Z,01KC79KA2QTXFQREVVACC2JAWT,2025-12-11T18:13:27.109238293Z,01KC79PBJY20CYFGWHSGJV3PGV,2025-12-11T18:13:27.109238293Z,01KC79PBWNWZMZMRHDZ5PZKF3W,2025-12-11T18:13:27.109238293Z,true,2025-12-11T18:13:32.189693164Z
01KC79SSQ9D5EW6NNAC88YMTPQ,01KC792P4XAE965E30E0MR6EDR,2025-12-11T18:12:02.409602312Z,01KC792P58W4CSJFC6SH7MP77N,2025-12-11T18:12:02.409602312Z,,,01KC79FVZJ8N912QXJ50TRT1T9,2025-12-11T18:12:02.409602312Z,01KC79NYZGYWK9T0MV1TJHB8C4,2025-12-11T18:12:02.409602312Z,01KC79NZ7JASTE4Q0WQG91T3BB,2025-12-11T18:12:02.409602312Z,true,2025-12-11T18:12:04.277240037Z
01KC79V72AH0SW24M09D4TZJ4T,01KC792PRTZHWRJ2KMDQQMG00W,2025-12-11T18:12:48.842708729Z,01KC792PS59W7MMQWZYWR4N84V,2025-12-11T18:12:48.842708729Z,,,01KC79EQ5VGND62AJQKN8RW603,2025-12-11T18:12:48.842708729Z,01KC79KPPTM5A20Q4FXSP595BX,2025-12-11T18:12:48.842708729Z,01KC79KQ0YS7WTP7DKTS431B85,2025-12-11T18:12:48.842708729Z,true,2025-12-11T18:12:50.98945573Z
01KC79YXSXVR711PYRZSYH5NT4,01KC792R3GAQ93Y2KWRDZ6PHKT,2025-12-11T18:14:50.429202158Z,01KC792R3VN56ANE0EJ3WM1V55,2025-12-11T18:14:50.429202158Z,30,2025-12-11T18:15:07.161787308Z,01KC79GWXG2AN5SGG1MDP4PN8P,2025-12-11T18:14:50.429202158Z,01KC79S0940PQM6DNKXGFCD1PT,2025-12-11T18:14:50.429202158Z,01KC79S0YY4C7WVMJZTGVQQ9E7,2025-12-11T18:14:50.429202158Z,true,2025-12-11T18:15:08.810343673Z
01KC7A9CY2VETS4Z7X309M8Q2J,01KC79VHE8PE9MZRMG71GAT5MW,2025-12-11T18:20:33.602367375Z,01KC79VHNW7FWHSXXSWMJ4BAAT,2025-12-11T18:20:33.602367375Z,,,01KC79K0V50SP04EJBDH0RXGDM,2025-12-11T18:20:33.602367375Z,01KC7A00EEKK2484YD4P3Z5T3C,2025-12-11T18:20:33.602367375Z,01KC7A01NA82KYCCBGV35X5E6E,2025-12-11T18:20:33.602367375Z,true,2025-12-11T18:20:40.061348187Z
