id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KBT8JC9BZ020XTCECPY3RQXF,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.083739042Z,90,2025-12-06T16:40:23.083739042Z,true,2025-12-06T16:43:12.392170071Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.083739042Z,0,2025-12-06T16:40:23.083739042Z,true,2025-12-06T16:43:07.41515607Z,choice,2025-12-06T16:40:23.083739042Z,01KBT8JC56QPA0CY91YDPZ1HNB,2025-12-06T16:40:23.083739042Z,true,2025-12-06T16:43:07.399955191Z,true,2025-12-06T16:43:07.434052492Z,01KBT8JC92DGRR5XM7J98Y617W,2025-12-06T16:40:23.083739042Z
01KBT8JCCKXJQMWY45HQGAT9YD,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.187255239Z,90,2025-12-06T16:40:23.187255239Z,true,2025-12-06T16:44:18.834179572Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.187255239Z,0,2025-12-06T16:40:23.187255239Z,true,2025-12-06T16:44:12.655566527Z,choice,2025-12-06T16:40:23.187255239Z,01KBT8JC5A87SMC7HJNAJ5Z1E8,2025-12-06T16:40:23.187255239Z,true,2025-12-06T16:44:12.631663948Z,true,2025-12-06T16:44:12.670659413Z,01KBT8JCCEWHRXEAHP42CF0Z68,2025-12-06T16:40:23.187255239Z
01KBT8JCCZSN18QW3K89QATVT6,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.199872046Z,20,2025-12-06T16:40:23.199872046Z,true,2025-12-06T16:44:34.743624446Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.199872046Z,1,2025-12-06T16:40:23.199872046Z,true,2025-12-06T16:44:29.318468978Z,result,2025-12-06T16:40:23.199872046Z,01KBT8JC5BFMT46X1WT6KH4T9Q,2025-12-06T16:40:23.199872046Z,true,2025-12-06T16:44:29.297996141Z,true,2025-12-06T16:44:29.336643308Z,01KBT8JCCX9G35APCASS71JFZZ,2025-12-06T16:40:23.199872046Z
01KBT7610ZEYKJ5WS5P2V9QMY2,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.759370153Z,20,2025-12-06T16:16:09.759370153Z,false,2025-12-06T16:16:09.759370153Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.759370153Z,1,2025-12-06T16:16:09.759370153Z,,,result,2025-12-06T16:16:09.759370153Z,01KBT760Y7WKP7JCRK5XHC36ED,2025-12-06T16:16:09.759370153Z,false,2025-12-06T16:16:09.759370153Z,,,01KBT7610W7N5KJWNBRPNH1ZN9,2025-12-06T16:16:09.759370153Z
01KBT8JC6SJ8D377T3CDEN7CMJ,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.001330196Z,90,2025-12-06T16:40:23.001330196Z,true,2025-12-06T16:41:58.956091133Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.001330196Z,0,2025-12-06T16:40:23.001330196Z,true,2025-12-06T16:41:51.46909139Z,choice,2025-12-06T16:40:23.001330196Z,01KBT8JC52TN0BGQJ72TB7R76K,2025-12-06T16:40:23.001330196Z,true,2025-12-06T16:41:51.450195867Z,true,2025-12-06T16:41:51.490012108Z,01KBT8JC6KNR0RY3TAGW8CTSMK,2025-12-06T16:40:23.001330196Z
01KBT8JCBHBQDYYHPEMRWS8FXH,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.153356283Z,90,2025-12-06T16:40:23.153356283Z,true,2025-12-06T16:43:56.795094359Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.153356283Z,0,2025-12-06T16:40:23.153356283Z,true,2025-12-06T16:43:53.753534329Z,choice,2025-12-06T16:40:23.153356283Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:40:23.153356283Z,true,2025-12-06T16:43:53.73964235Z,true,2025-12-06T16:43:53.766837871Z,01KBT8JCBCFX4B6PP7K3TTXTFF,2025-12-06T16:40:23.153356283Z
01KBT7610KQ5292P7Q9H4Z30GM,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.747363046Z,20,2025-12-06T16:16:09.747363046Z,true,2025-12-06T16:19:20.673696109Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.747363046Z,1,2025-12-06T16:16:09.747363046Z,true,2025-12-06T16:19:00.656489016Z,result,2025-12-06T16:16:09.747363046Z,01KBT760Y4G0WHXA8QFP66KS1Z,2025-12-06T16:16:09.747363046Z,true,2025-12-06T16:19:00.632999509Z,true,2025-12-06T16:19:00.670519522Z,01KBT7610G8G6BFRR0917HAWVQ,2025-12-06T16:16:09.747363046Z
01KBT76144152YXG3GBFSS991S,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.860205307Z,90,2025-12-06T16:16:09.860205307Z,false,2025-12-06T16:16:09.860205307Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.860205307Z,0,2025-12-06T16:16:09.860205307Z,,,choice,2025-12-06T16:16:09.860205307Z,01KBT760Y9NXJCVF2Q4TKZ64BG,2025-12-06T16:16:09.860205307Z,false,2025-12-06T16:16:09.860205307Z,,,01KBT7613ZFX4GNAZRTJR6X0TN,2025-12-06T16:16:09.860205307Z
01KBT8JC69523A0PTB0H90DEPX,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.985881077Z,20,2025-12-06T16:40:22.985881077Z,true,2025-12-06T16:41:51.396449779Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.985881077Z,1,2025-12-06T16:40:22.985881077Z,true,2025-12-06T16:41:31.377067941Z,result,2025-12-06T16:40:22.985881077Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:40:22.985881077Z,true,2025-12-06T16:41:31.354360038Z,true,2025-12-06T16:41:31.394100843Z,01KBT8JC66N9D2H8HN804QM76Q,2025-12-06T16:40:22.985881077Z
01KBT8JCBHBQDYYHPEN6N6ZPM3,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.153939097Z,20,2025-12-06T16:40:23.153939097Z,true,2025-12-06T16:44:03.804097782Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.153939097Z,1,2025-12-06T16:40:23.153939097Z,true,2025-12-06T16:43:56.830203561Z,result,2025-12-06T16:40:23.153939097Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:40:23.153939097Z,true,2025-12-06T16:43:56.816248341Z,true,2025-12-06T16:43:56.843559067Z,01KBT8JCBE349MAGX54P95QVZQ,2025-12-06T16:40:23.153939097Z
